127.0.0.1 - - [13/Jul/2018:08:48:16 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/ HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 8593
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=551623661 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:55 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:05 -0500] "POST /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/include/contents/home.xhtml HTTP/1.1" 200 10681
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=551623661 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/resources/images/banner.png HTTP/1.1" 200 46285
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:10 -0500] "GET /BMSFRIJOL/resources/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:24 -0500] "GET /BMSFRIJOL/include/contents/cargaArchivo.xhtml HTTP/1.1" 200 13086
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=551623661 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/ace-components.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 294117
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/util/combined.css.xhtml?ln=icefaces.ace HTTP/1.1" 200 73387
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:49:25 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.css.xhtml?ln=icefaces.ace HTTP/1.1" 200 866
